TimeStamp,ECG,PPG,
21:36:02,11.0,-17779.0,0.0
21:36:02,13.0,-17688.0,0.0
21:36:02,15.0,-17767.0,0.0
21:36:02,18.0,-17792.0,0.0
21:36:02,20.0,-17725.0,0.0
21:36:02,26.0,-17658.0,0.0
21:36:02,29.0,-17734.0,0.0
21:36:02,25.0,-17818.0,0.0
21:36:02,25.0,-17856.0,0.0
21:36:02,33.0,-17799.0,0.0
21:36:02,32.0,-17873.0,0.0
21:36:02,22.0,-17785.0,0.0
21:36:02,21.0,-17747.0,0.0
21:36:02,28.0,-17667.0,0.0
21:36:02,30.0,-17759.0,0.0
21:36:02,28.0,-17800.0,0.0
21:36:02,25.0,-17774.0,0.0
21:36:02,14.0,-17823.0,0.0
21:36:02,5.0,-17735.0,0.0
21:36:02,5.0,-17662.0,0.0
21:36:02,5.0,-17785.0,0.0
21:36:02,1.0,-17742.0,0.0
21:36:02,-2.0,-17781.0,0.0
21:36:02,-4.0,-17714.0,0.0
21:36:02,-4.0,-17724.0,0.0
21:36:03,-4.0,-17765.0,0.0
21:36:03,-6.0,-17735.0,0.0
21:36:03,-5.0,-17778.0,0.0
21:36:03,-3.0,-17722.0,0.0
21:36:03,-13.0,-17779.0,0.0
21:36:03,-26.0,-17785.0,0.0
21:36:03,-25.0,-17727.0,0.0
21:36:03,-16.0,-17752.0,0.0
21:36:03,-15.0,-17750.0,0.0
21:36:03,-15.0,-17844.0,0.0
21:36:03,-11.0,-17777.0,0.0
21:36:03,-12.0,-17740.0,0.0
21:36:03,-15.0,-17809.0,0.0
21:36:03,-12.0,-17720.0,0.0
21:36:03,-10.0,-17712.0,0.0
21:36:03,-10.0,-17714.0,0.0
21:36:03,-7.0,-17717.0,0.0
21:36:03,-6.0,-17712.0,0.0
21:36:03,-8.0,-17754.0,0.0
21:36:03,-7.0,-17707.0,0.0
21:36:03,-7.0,-17643.0,0.0
21:36:03,-11.0,-17668.0,0.0
21:36:03,-9.0,-17783.0,0.0
21:36:03,-3.0,-17879.0,0.0
21:36:03,-4.0,-17820.0,0.0
21:36:03,-5.0,-17767.0,0.0
21:36:03,-3.0,-17705.0,0.0
21:36:03,-5.0,-17745.0,0.0
21:36:03,-8.0,-17749.0,0.0
21:36:03,-9.0,-17737.0,0.0
21:36:03,-9.0,-17645.0,0.0
21:36:03,-8.0,-17711.0,0.0
21:36:03,-6.0,-17777.0,0.0
21:36:03,-6.0,-17720.0,0.0
21:36:03,-5.0,-17719.0,0.0
21:36:03,-1.0,-17730.0,0.0
21:36:03,-1.0,-17702.0,0.0
21:36:03,-5.0,-17560.0,0.0
21:36:03,-4.0,-17341.0,0.0
21:36:03,0.0,-17357.0,0.0
21:36:03,-1.0,-17388.0,0.0
21:36:03,-2.0,-17430.0,0.0
21:36:03,-1.0,-17419.0,0.0
21:36:03,-3.0,-17325.0,0.0
21:36:03,-6.0,-17378.0,0.0
21:36:03,-4.0,-17389.0,0.0
21:36:03,-2.0,-17367.0,0.0
21:36:03,-3.0,-17431.0,0.0
21:36:03,-4.0,-17310.0,0.0
21:36:03,-2.0,-17349.0,0.0
21:36:03,-2.0,-17381.0,0.0
21:36:03,-3.0,-17277.0,0.0
21:36:03,-3.0,-17333.0,0.0
21:36:03,-2.0,-17333.0,0.0
21:36:03,-2.0,-17335.0,0.0
21:36:03,-3.0,-17384.0,0.0
21:36:03,-2.0,-17467.0,0.0
21:36:03,-1.0,-17369.0,0.0
21:36:03,-1.0,-17282.0,0.0
21:36:03,-2.0,-17455.0,0.0
21:36:03,-2.0,-17317.0,0.0
21:36:03,-2.0,-17287.0,0.0
21:36:03,-4.0,-17359.0,0.0
21:36:03,-4.0,-17281.0,0.0
21:36:03,-1.0,-17306.0,0.0
21:36:03,0.0,-17388.0,0.0
21:36:03,-1.0,-17382.0,0.0
21:36:03,-1.0,-17372.0,0.0
